MONTHLY CARBON DIOXIDE READINGS AT AMERICAN SAMOA 1/73 TO 5/87
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = CO2SMO.DAT
NUMBER OF OBSERVATIONS = 173
RESPONSE VARIABLE = MEAN CARBON DIOXIDE CONCENTRATION (IN PARTS PER MILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1973 TO 1987)
   2.  MONTH (1 TO 12)
   3. MEAN (OVER THE MONTH) CARBON DIOXIDE CONCENTRATION (PPM)
NOTE--A ZERO RESPONSE MEANS NO READING AVAILABLE.
NOTE--FROM 1973 ONWARD, THE RAW DATA POINTS WERE HOURLY
      AND SO THE REPORTED MONTHLY AVERAGES CONSISTED OF
      ABOUT 720 OBSERVATIONS.
      PRE-1973, THE RAW DATA WAS SPARSE, SOMETIMES ONLY ONE READING PER MONTH.
NOTE--POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?

1973  1   0.00
1973  2   0.00
1973  3   0.00
1973  4   0.00
1973  5   0.00
1973  6   0.00
1973  7   0.00
1973  8   0.00
1973  9   0.00
1973 10   0.00
1973 11   0.00
1973 12   0.00
1974  1   0.00
1974  2   0.00
1974  3   0.00
1974  4   0.00
1974  5   0.00
1974  6   0.00
1974  7   0.00
1974  8   0.00
1974  9   0.00
1974 10   0.00
1974 11   0.00
1974 12   0.00
1975  1   0.00
1975  2   0.00
1975  3   0.00
1975  4   0.00
1975  5   0.00
1975  6   0.00
1975  7   0.00
1975  8   0.00
1975  9   0.00
1975 10   0.00
1975 11   0.00
1975 12   0.00
1976  1 332.44
1976  2 331.88
1976  3 331.30
1976  4 331.16
1976  5 330.64
1976  6 331.26
1976  7 331.07
1976  8 331.13
1976  9 331.27
1976 10 331.49
1976 11 331.93
1976 12 331.86
1977  1 331.93
1977  2 331.99
1977  3 332.14
1977  4 332.19
1977  5 332.80
1977  6 332.68
1977  7 332.20
1977  8 333.05
1977  9 332.85
1977 10 333.29
1977 11   0.00
1977 12   0.00
1978  1   0.00
1978  2 334.74
1978  3 335.16
1978  4 335.39
1978  5 335.13
1978  6 335.27
1978  7 335.03
1978  8 335.69
1978  9 335.63
1978 10   0.00
1978 11   0.00
1978 12   0.00
1979  1   0.00
1979  2 336.20
1979  3 335.96
1979  4 336.62
1979  5 335.85
1979  6 336.01
1979  7 336.36
1979  8 336.31
1979  9 336.31
1979 10 336.62
1979 11 336.63
1979 12 336.90
1980  1 337.52
1980  2 337.63
1980  3 337.88
1980  4 337.29
1980  5 337.70
1980  6 337.96
1980  7 338.32
1980  8 338.28
1980  9 338.18
1980 10 338.09
1980 11 338.51
1980 12 338.91
1981  1 338.98
1981  2 339.31
1981  3 338.93
1981  4 339.59
1981  5 338.90
1981  6 339.23
1981  7 339.03
1981  8 339.16
1981  9 339.20
1981 10 338.92
1981 11 339.45
1981 12 339.77
1982  1 340.38
1982  2 340.39
1982  3 340.39
1982  4 340.27
1982  5 339.86
1982  6 340.02
1982  7 340.47
1982  8 340.39
1982  9 340.12
1982 10 340.00
1982 11 340.20
1982 12 340.20
1983  1 340.03
1983  2 340.45
1983  3 340.78
1983  4 340.61
1983  5 341.07
1983  6 341.59
1983  7 341.85
1983  8 341.94
1983  9 341.93
1983 10 342.08
1983 11 342.41
1983 12 342.55
1984 01 342.91
1984 02 343.23
1984 03 343.08
1984 04 343.32
1984 05 342.29
1984 06 342.55
1984 07 342.90
1984 08 343.02
1984 09 343.16
1984 10 343.10
1984 11 343.11
1984 12 343.72
1985 01 343.84
1985 02 343.98
1985 03 344.07
1985 04 343.76
1985 05 344.32
1985 06 344.19
1985 07 344.08
1985 08 343.68
1985 09 344.31
1985 10 344.16
1985 11 344.17
1985 12 344.53
1986 01 344.12
1986 02 344.29
1986 03 344.02
1986 04 344.05
1986 05 345.47
1986 06 346.21
1986 07 346.16
1986 08 345.84
1986 09 345.94
1986 10 346.01
1986 11 345.98
1986 12 346.09
1987  1 346.59
1987  2 346.86
1987  3 346.62
1987  4 346.31
1987  5 347.76SMO 87  5 347.76
