WEEKLY (ROUGHLY) FREON-12 READINGS AT AMERICAN SAMOA 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SMOF12_WK.DAT
NUMBER OF OBSERVATIONS = 888
RESPONSE VARIABLE = MEAN FREON-12 CONCENTRATION (IN PARTS PER TRILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) FREON-12 CONCENTRATION (PPT)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2)
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11)
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977   6 108  0.0   0.0 36   1.0284 -99.9900
1977  13 109  0.0   0.0 36   1.0306 -99.9900
1977  23 110  0.0   0.0 36   1.0322 -99.9900
1977  27 111  0.0   0.0 36   1.0310 -99.9900
1977  34 112  0.0   0.0 36   1.0267 -99.9900
1977  43 113  0.0   0.0 36   1.0314 -99.9900
1977  49 114  0.0   0.0 36   1.0322 -99.9900
1977  57 115  0.0   0.0 36   1.0312 -99.9900
1977  67 116  0.0   0.0 36   1.0324 -99.9900
1977  70 117  0.0   0.0 36   1.0312 -99.9900
1977  76 118  0.0   0.0 36   1.0316 -99.9900
1977  91 119  0.0   0.0 36   1.0303 -99.9900
1977  98 120  0.0   0.0 36   1.0326 -99.9900
1977 109 121  0.0   0.0 36   1.0336 -99.9900
1977 120 122  4.2 244.7 32   1.0324 -99.9900
1977 125 123  5.8 255.6 36   1.0308 -99.9900
1977 134 124  5.7 218.7 32   1.0324 -99.9900
1977 139 125  7.4 232.3 33   1.0312 -99.9900
1977 146 126  7.7 260.5 37   1.0271 -99.9900
1977 156 127  1.0 215.2 32   1.0265 -99.9900
1977 161 128  3.3 241.0 32   1.0318 -99.9900
1977 169 129  1.3 245.3 32   1.0264 333.5500
1977 174 130  6.1 227.6 33   1.0290 334.8000
