Subject: Homo. Study for SRM 1944: Jersey Mud
Col 1: Bottle (1-8)
Col 2: Injection Day  (1-4)
Col 3: Extraction Day (1-4)
Col 4: Concentration (50 analytes for each comb. of Cols 1-3)

50x16 = 800 observations

Hint: You might want to take logs of Col 4.

5 1 2 1.558
5 1 2 0.844
5 1 2 0.46
5 1 2 0.233
5 1 2 0.769
5 1 2 0.408
5 1 2 0.574
5 1 2 0.73
5 1 2 5.129
5 1 2 1.649
5 1 2 2.079
5 1 2 1.861
5 1 2 0.57
5 1 2 1.551
5 1 2 1.612
5 1 2 1.456
5 1 2 0.777
5 1 2 0.679
5 1 2 2.39
5 1 2 1.581
5 1 2 0.645
5 1 2 1.159
5 1 2 0.233
5 1 2 0.285
5 1 2 8.2
5 1 2 9.091
5 1 2 0.851
5 1 2 0.594
5 1 2 0.607
5 1 2 2.513
5 1 2 1.814
5 1 2 1.445
5 1 2 1.298
5 1 2 0.634
5 1 2 0.764
5 1 2 4.53
5 1 2 5.427
5 1 2 5.11
5 1 2 1.984
5 1 2 1.026
5 1 2 3.088
5 1 2 4.145
5 1 2 1.208
5 1 2 0.564
5 1 2 0.802
5 1 2 0.33
5 1 2 0.841
5 1 2 0.705
5 1 2 2.698
5 1 2 2.769
4 1 1 1.67
4 1 1 0.96
4 1 1 0.516
4 1 1 0.239
4 1 1 0.828
4 1 1 0.404
4 1 1 0.621
4 1 1 0.829
4 1 1 5.223
4 1 1 1.636
4 1 1 2.137
4 1 1 1.763
4 1 1 0.596
4 1 1 1.649
4 1 1 1.65
4 1 1 1.547
4 1 1 0.813
4 1 1 0.695
4 1 1 2.439
4 1 1 1.593
4 1 1 0.575
4 1 1 1.252
4 1 1 0.245
4 1 1 0.287
4 1 1 8.187
4 1 1 9.072
4 1 1 0.895
4 1 1 0.642
4 1 1 0.655
4 1 1 2.555
4 1 1 1.779
4 1 1 1.43
4 1 1 1.294
4 1 1 0.714
4 1 1 0.764
4 1 1 4.616
4 1 1 5.681
4 1 1 5.29
4 1 1 2.01
4 1 1 0.997
4 1 1 3.146
4 1 1 4.223
4 1 1 1.203
4 1 1 0.573
4 1 1 0.823
4 1 1 0.32
4 1 1 0.878
4 1 1 0.732
4 1 1 2.815
4 1 1 2.91
8 1 4 1.5
8 1 4 0.903
8 1 4 0.492
8 1 4 0.241
8 1 4 0.832
8 1 4 0.382
8 1 4 0.605
8 1 4 0.759
8 1 4 5.372
8 1 4 1.75
8 1 4 2.137
8 1 4 1.836
8 1 4 0.321
8 1 4 1.073
8 1 4 1.626
8 1 4 1.529
8 1 4 0.733
8 1 4 0.699
8 1 4 2.438
8 1 4 1.698
8 1 4 0.587
8 1 4 1.187
8 1 4 0.236
8 1 4 0.27
8 1 4 8.356
8 1 4 9.262
8 1 4 0.833
8 1 4 0.597
8 1 4 0.661
8 1 4 2.671
8 1 4 1.841
8 1 4 1.434
8 1 4 1.308
8 1 4 0.609
8 1 4 0.774
8 1 4 4.685
8 1 4 5.872
8 1 4 5.356
8 1 4 2.067
8 1 4 1.008
8 1 4 3.184
8 1 4 4.269
8 1 4 1.243
8 1 4 0.555
8 1 4 0.834
8 1 4 0.328
8 1 4 0.864
8 1 4 0.756
8 1 4 2.81
8 1 4 2.875
3 1 3 1.463
3 1 3 0.847
3 1 3 0.467
3 1 3 0.214
3 1 3 0.769
3 1 3 0.423
3 1 3 0.573
3 1 3 0.797
3 1 3 4.952
3 1 3 1.664
3 1 3 2.015
3 1 3 1.839
3 1 3 0.708
3 1 3 1.463
3 1 3 1.605
3 1 3 1.284
3 1 3 0.735
3 1 3 0.699
3 1 3 2.323
3 1 3 1.626
3 1 3 0.617
3 1 3 1.187
3 1 3 0.239
3 1 3 0.269
3 1 3 7.627
3 1 3 8.234
3 1 3 0.853
3 1 3 0.586
3 1 3 0.616
3 1 3 2.544
3 1 3 1.645
3 1 3 1.298
3 1 3 1.257
3 1 3 0.694
3 1 3 0.761
3 1 3 4.42
3 1 3 6.051
3 1 3 5.061
3 1 3 1.946
3 1 3 1.037
3 1 3 3.027
3 1 3 3.957
3 1 3 1.121
3 1 3 0.566
3 1 3 0.759
3 1 3 0.3
3 1 3 0.82
3 1 3 0.701
3 1 3 2.775
3 1 3 2.716
3 2 2 1.659
3 2 2 0.924
3 2 2 0.498
3 2 2 0.23
3 2 2 0.775
3 2 2 0.454
3 2 2 0.606
3 2 2 0.81
3 2 2 5.169
3 2 2 1.646
3 2 2 2.067
3 2 2 1.767
3 2 2 0.577
3 2 2 1.451
3 2 2 1.691
3 2 2 1.252
3 2 2 0.745
3 2 2 0.617
3 2 2 2.274
3 2 2 1.591
3 2 2 0.596
3 2 2 1.095
3 2 2 0.224
3 2 2 0.268
3 2 2 8.637
3 2 2 9.201
3 2 2 0.786
3 2 2 0.617
3 2 2 0.618
3 2 2 2.403
3 2 2 1.732
3 2 2 1.397
3 2 2 1.22
3 2 2 0.665
3 2 2 0.785
3 2 2 4.411
3 2 2 5.298
3 2 2 5.115
3 2 2 1.882
3 2 2 0.982
3 2 2 3.039
3 2 2 3.921
3 2 2 1.154
3 2 2 0.563
3 2 2 0.743
3 2 2 0.303
3 2 2 0.805
3 2 2 0.671
3 2 2 2.613
3 2 2 2.675
6 2 3 1.652
6 2 3 0.866
6 2 3 0.498
6 2 3 0.209
6 2 3 0.791
6 2 3 0.444
6 2 3 0.66
6 2 3 0.857
6 2 3 5.465
6 2 3 1.696
6 2 3 2.253
6 2 3 1.896
6 2 3 0.645
6 2 3 1.607
6 2 3 1.656
6 2 3 1.181
6 2 3 0.796
6 2 3 0.653
6 2 3 2.405
6 2 3 1.67
6 2 3 0.635
6 2 3 1.241
6 2 3 0.249
6 2 3 0.291
6 2 3 8.904
6 2 3 9.449
6 2 3 0.841
6 2 3 0.685
6 2 3 0.653
6 2 3 2.486
6 2 3 1.746
6 2 3 1.395
6 2 3 1.206
6 2 3 0.757
6 2 3 0.836
6 2 3 4.698
6 2 3 5.736
6 2 3 5.557
6 2 3 1.959
6 2 3 0.939
6 2 3 3.177
6 2 3 4.201
6 2 3 1.222
6 2 3 0.625
6 2 3 0.817
6 2 3 0.33
6 2 3 0.896
6 2 3 0.734
6 2 3 2.835
6 2 3 2.907
5 2 4 1.676
5 2 4 0.902
5 2 4 0.495
5 2 4 0.237
5 2 4 0.843
5 2 4 0.464
5 2 4 0.63
5 2 4 0.815
5 2 4 5.417
5 2 4 1.691
5 2 4 2.287
5 2 4 1.837
5 2 4 0.609
5 2 4 1.648
5 2 4 1.512
5 2 4 1.206
5 2 4 0.815
5 2 4 0.657
5 2 4 2.403
5 2 4 1.672
5 2 4 0.595
5 2 4 1.169
5 2 4 0.246
5 2 4 0.285
5 2 4 8.891
5 2 4 9.52
5 2 4 0.812
5 2 4 0.709
5 2 4 0.679
5 2 4 2.556
5 2 4 1.817
5 2 4 1.469
5 2 4 1.333
5 2 4 0.693
5 2 4 0.826
5 2 4 4.674
5 2 4 5.629
5 2 4 5.394
5 2 4 1.935
5 2 4 0.974
5 2 4 3.081
5 2 4 4.129
5 2 4 1.18
5 2 4 0.588
5 2 4 0.802
5 2 4 0.317
