This is Dataplot data file     MANDEL6.DAT
Pentosans in Wood Pulp
Source--Mandel, John (1991).
        Evaluation and Control of Measurements
        Marcel-Decker, New York, page 6.
Response Variable                  = Pentosans in Wood Pulp
Number of observations             = 189 (= 9 elements x 7 labs x 3 reps)
Number of variables per line image = 3
Order of variables per line image--
   Response variable = pentosan concentration
   Factor 1          = lab      (7 levels)
   Factor 2          = material (9 levels)
Statistical area--Multifactor Interlab
Problem Type    --Comparative
Design type     --Randomized Block
To read this file into Dataplot--
   skip 25; read mandel6.dat y lab material





Pentosans      Lab      Material
    Y           X1         X2
--------------------------------
  0.44           1          1
  0.49           1          1
  0.44           1          1
  0.41           2          1
  0.41           2          1
  0.41           2          1
  0.51           3          1
  0.51           3          1
  0.51           3          1
  0.40           4          1
  0.38           4          1
  0.37           4          1
  0.49           5          1
  0.49           5          1
  0.49           5          1
  0.43           6          1
  0.41           6          1
  0.40           6          1
  0.186          7          1
  0.171          7          1
  0.153          7          1

  0.96           1          2
  0.92           1          2
  0.82           1          2
  0.83           2          2
  0.83           2          2
  0.84           2          2
  0.92           3          2
  0.93           3          2
  0.92           3          2
  0.96           4          2
  0.94           4          2
  0.94           4          2
  0.82           5          2
  0.82           5          2
  0.84           5          2
  0.88           6          2
  0.92           6          2
  0.88           6          2
  0.866          7          2
  0.900          7          2
  0.831          7          2

  1.23           1          3
  1.88           1          3
  1.24           1          3
  1.12           2          3
  1.12           2          3
  1.12           2          3
  1.11           3          3
  1.13           3          3
  1.11           3          3
  1.15           4          3
  1.13           4          3
  1.13           4          3
  0.98           5          3
  0.98           5          3
  0.98           5          3
  1.11           6          3
  1.12           6          3
  1.11           6          3
  1.05           7          3
  0.962          7          3
  0.927          7          3

  1.25           1          4
  1.25           1          4
  1.42           1          4
  1.25           2          4
  1.25           2          4
  1.26           2          4
  1.35           3          4
  1.35           3          4
  1.35           3          4
  1.29           4          4
  1.29           4          4
  1.29           4          4
  1.23           5          4
  1.23           5          4
  1.23           5          4
  1.31           6          4
  1.30           6          4
  1.31           6          4
  1.13           7          4
  1.15           7          4
  1.15           7          4

  1.98           1          5
  1.92           1          5
  1.80           1          5
  1.99           2          5
  1.94           2          5
  1.95           2          5
  2.05           3          5
  2.08           3          5
  2.03           3          5
  2.05           4          5
  2.04           4          5
  2.04           4          5
  1.94           5          5
  1.96           5          5
  1.96           5          5
  2.01           6          5
  1.99           6          5
  1.98           6          5
  1.98           7          5
  1.93           7          5
  1.98           7          5

  4.12           1          6
  4.16           1          6
  4.16           1          6
  4.10           2          6
  4.11           2          6
  4.10           2          6
  4.11           3          6
  4.16           3          6
  4.16           3          6
  4.20           4          6
  4.20           4          6
  4.22           4          6
  4.61           5          6
  4.63           5          6
  4.53           5          6
  3.93           6          6
  3.92           6          6
  3.84           6          6
  4.21           7          6
  4.18           7          6
  4.16           7          6

  5.94           1          7
  5.37           1          7
  5.37           1          7
  5.26           2          7
  5.26           2          7
  5.26           2          7
  5.16           3          7
  5.16           3          7
  5.21           3          7
  5.20           4          7
  5.20           4          7
  5.20           4          7
  5.00           5          7
  5.00           5          7
  4.96           5          7
  4.85           6          7
  4.87           6          7
  4.91           6          7
  5.27           7          7
  5.32           7          7
  5.10           7          7

 10.70           1          8
 10.74           1          8
 10.83           1          8
 10.07           2          8
 10.05           2          8
  9.82           2          8
 10.01           3          8
 10.17           3          8
 10.17           3          8
 10.98           4          8
 10.67           4          8
 10.52           4          8
 10.48           5          8
 10.27           5          8
 10.38           5          8
  9.57           6          8
  9.57           6          8
  9.62           6          8
 11.50           7          8
 10.80           7          8
 11.50           7          8

 17.13           1          9
 16.56           1          9
 16.56           1          9
 16.08           2          9
 16.04           2          9
 16.13           2          9
 16.01           3          9
 15.96           3          9
 16.06           3          9
 16.65           4          9
 16.91           4          9
 16.75           4          9
 15.71           5          9
 15.45           5          9
 15.66           5          9
 15.05           6          9
 14.73           6          9
 15.04           6          9
 18.80           7          9
 18.20           7          9
 18.10           7          9
